parameter,step,counts,bin_centers,bin_width
gpt_neox.embed_in.weight,142000,"[1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
 2.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00
 0.000000e+00 1.000000e+00 1.000000e+00 6.000000e+00 2.000000e+00
 4.000000e+00 4.000000e+00 4.000000e+00 6.000000e+00 1.300000e+01
 3.400000e+01 7.400000e+01 1.740000e+02 3.780000e+02 8.650000e+02
 1.848000e+03 4.071000e+03 7.808000e+03 1.509400e+04 2.775100e+04
 4.850100e+04 8.372400e+04 1.354970e+05 2.147780e+05 3.195070e+05
 4.647470e+05 6.459460e+05 8.586020e+05 1.104128e+06 1.357710e+06
 1.604681e+06 1.820640e+06 1.981255e+06 2.066116e+06 2.198074e+06
 1.986209e+06 1.828261e+06 1.614747e+06 1.365304e+06 1.115630e+06
 8.729080e+05 6.565430e+05 4.705700e+05 3.295360e+05 2.174220e+05
 1.392820e+05 8.624600e+04 5.064800e+04 2.870400e+04 1.555000e+04
 8.252000e+03 4.039000e+03 1.983000e+03 9.030000e+02 4.230000e+02
 1.860000e+02 9.700000e+01 4.100000e+01 2.800000e+01 1.200000e+01
 8.000000e+00 5.000000e+00 1.200000e+01 6.000000e+00 7.000000e+00
 3.000000e+00 3.000000e+00 3.000000e+00 5.000000e+00 5.000000e+00
 0.000000e+00 4.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
 2.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
 0.000000e+00 0.000000e+00 3.000000e+00 1.000000e+00 2.000000e+00]","[-0.30907106 -0.3027014  -0.29633176 -0.28996217 -0.28359252 -0.2772229
 -0.27085328 -0.26448363 -0.258114   -0.2517444  -0.24537475 -0.23900512
 -0.2326355  -0.22626586 -0.21989624 -0.2135266  -0.20715699 -0.20078735
 -0.19441773 -0.1880481  -0.18167847 -0.17530884 -0.1689392  -0.16256958
 -0.15619995 -0.14983031 -0.14346069 -0.13709107 -0.13072143 -0.12435181
 -0.11798218 -0.11161255 -0.10524292 -0.09887329 -0.09250366 -0.08613403
 -0.0797644  -0.07339478 -0.06702515 -0.06065552 -0.05428588 -0.04791625
 -0.04154663 -0.03517701 -0.02880737 -0.02243774 -0.01606812 -0.00969848
 -0.00332884  0.00304078  0.0094104   0.01578002  0.02214965  0.02851929
  0.03488891  0.04125854  0.04762818  0.0539978   0.06036742  0.06673706
  0.07310669  0.07947632  0.08584595  0.09221558  0.0985852   0.10495483
  0.11132446  0.11769409  0.12406372  0.13043335  0.13680297  0.1431726
  0.14954224  0.15591186  0.16228148  0.16865112  0.17502075  0.18139037
  0.18776001  0.19412965  0.20049927  0.2068689   0.21323852  0.21960816
  0.22597778  0.23234741  0.23871703  0.24508667  0.2514563   0.2578259
  0.26419556  0.27056518  0.2769348   0.28330445  0.28967407  0.2960437
  0.30241334  0.30878294  0.3151526   0.32152224]",0.0063696205615997314
gpt_neox.embed_in.weight,143000,"[1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
 2.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00
 0.000000e+00 1.000000e+00 2.000000e+00 5.000000e+00 2.000000e+00
 3.000000e+00 4.000000e+00 4.000000e+00 6.000000e+00 1.000000e+01
 3.100000e+01 6.500000e+01 1.670000e+02 3.480000e+02 7.550000e+02
 1.789000e+03 3.631000e+03 7.263000e+03 1.385700e+04 2.566900e+04
 4.574900e+04 7.864500e+04 1.273520e+05 2.022670e+05 3.052630e+05
 4.451540e+05 6.191710e+05 8.331110e+05 1.069406e+06 1.324820e+06
 1.572907e+06 1.795195e+06 1.962355e+06 2.060379e+06 2.199200e+06
 2.005200e+06 1.852175e+06 1.640909e+06 1.401073e+06 1.144752e+06
 9.041160e+05 6.800330e+05 4.967330e+05 3.442760e+05 2.308490e+05
 1.489580e+05 9.197000e+04 5.398300e+04 3.107300e+04 1.721700e+04
 9.109000e+03 4.480000e+03 2.185000e+03 1.011000e+03 4.690000e+02
 2.220000e+02 9.700000e+01 5.000000e+01 2.500000e+01 1.400000e+01
 8.000000e+00 7.000000e+00 1.200000e+01 5.000000e+00 7.000000e+00
 5.000000e+00 2.000000e+00 3.000000e+00 6.000000e+00 4.000000e+00
 1.000000e+00 3.000000e+00 2.000000e+00 1.000000e+00 0.000000e+00
 2.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
 0.000000e+00 0.000000e+00 1.000000e+00 3.000000e+00 2.000000e+00]","[-0.3081128  -0.3017798  -0.29544678 -0.28911376 -0.28278077 -0.27644777
 -0.27011475 -0.26378173 -0.25744873 -0.25111574 -0.24478272 -0.23844971
 -0.2321167  -0.22578369 -0.21945068 -0.21311767 -0.20678467 -0.20045166
 -0.19411865 -0.18778566 -0.18145263 -0.17511964 -0.16878662 -0.16245362
 -0.1561206  -0.1497876  -0.14345458 -0.13712159 -0.13078856 -0.12445556
 -0.11812256 -0.11178955 -0.10545654 -0.09912353 -0.09279052 -0.08645751
 -0.0801245  -0.0737915  -0.06745849 -0.06112549 -0.05479248 -0.04845947
 -0.04212646 -0.03579345 -0.02946045 -0.02312744 -0.01679443 -0.01046142
 -0.00412841  0.0022046   0.00853759  0.0148706   0.02120361  0.02753662
  0.03386962  0.04020263  0.04653564  0.05286865  0.05920166  0.06553467
  0.07186767  0.07820068  0.08453368  0.09086669  0.0971997   0.10353271
  0.10986572  0.11619873  0.12253173  0.12886474  0.13519776  0.14153075
  0.14786378  0.15419677  0.16052979  0.16686279  0.17319581  0.1795288
  0.18586183  0.19219482  0.19852784  0.20486084  0.21119384  0.21752685
  0.22385986  0.23019287  0.23652588  0.24285889  0.2491919   0.2555249
  0.26185793  0.26819092  0.2745239   0.28085694  0.28718996  0.29352295
  0.29985595  0.30618897  0.312522    0.318855  ]",0.006332993507385254
gpt_neox.layers.0.input_layernorm.weight,142000,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  2.  0.  0.  0.  1.  0.  3.  0.
  0.  0.  1.  0.  3.  3.  2.  4.  6.  8.  3.  7.  7.  9. 12. 18. 15. 14.
 15. 18. 21. 20. 24. 22. 20. 26. 21. 26. 20. 15. 11. 18. 13.  9. 13. 12.
  5. 11.  4.  8. 10.  4.  5.  4.  3.  0.  3.  4.  1.  2.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[0.66275394 0.6699023  0.6770508  0.6841992  0.69134766 0.6984961
 0.7056445  0.712793   0.7199414  0.7270899  0.73423827 0.7413868
 0.74853516 0.7556836  0.76283205 0.76998043 0.77712893 0.7842773
 0.7914258  0.7985742  0.80572265 0.8128711  0.82001954 0.827168
 0.8343164  0.8414649  0.84861326 0.85576177 0.86291015 0.8700586
 0.87720704 0.8843554  0.89150393 0.8986523  0.9058008  0.9129492
 0.92009765 0.9272461  0.93439454 0.941543   0.9486914  0.9558399
 0.96298826 0.97013676 0.97728515 0.9844336  0.99158204 0.9987305
 1.0058789  1.0130274  1.0201757  1.0273242  1.0344727  1.0416211
 1.0487695  1.055918   1.0630664  1.0702149  1.0773633  1.0845118
 1.0916601  1.0988085  1.105957   1.1131055  1.1202539  1.1274023
 1.1345508  1.1416992  1.1488476  1.1559961  1.1631446  1.170293
 1.1774414  1.1845899  1.1917382  1.1988866  1.2060351  1.2131836
 1.220332   1.2274804  1.2346289  1.2417774  1.2489258  1.2560742
 1.2632227  1.2703711  1.2775195  1.284668   1.2918165  1.2989649
 1.3061132  1.3132617  1.3204101  1.3275585  1.334707   1.3418555
 1.3490039  1.3561523  1.3633008  1.3704493 ]",0.007148444652557373
gpt_neox.layers.0.input_layernorm.weight,143000,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  2.  0.  0.  0.  1.  0.  2.  1.
  0.  0.  1.  0.  3.  3.  1.  5.  5.  9.  4.  4.  6. 12. 11. 17. 16. 12.
 14. 22. 18. 21. 23. 25. 21. 23. 23. 22. 21. 13. 16. 15. 15. 10. 12. 10.
  8. 10.  4.  9. 10.  2.  5.  5.  4.  0.  3.  3.  2.  2.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[0.6637354  0.67089355 0.6780517  0.68521    0.69236815 0.69952637
 0.7066846  0.71384275 0.72100097 0.7281592  0.73531735 0.7424756
 0.7496338  0.75679195 0.7639502  0.7711084  0.7782666  0.7854248
 0.792583   0.7997412  0.8068994  0.8140576  0.8212158  0.828374
 0.8355322  0.84269047 0.8498486  0.85700685 0.86416507 0.8713232
 0.87848145 0.88563967 0.8927978  0.89995605 0.90711427 0.9142724
 0.92143065 0.92858887 0.9357471  0.9429053  0.95006347 0.9572217
 0.9643799  0.97153807 0.9786963  0.9858545  0.99301267 1.000171
 1.007329   1.0144873  1.0216455  1.0288038  1.0359619  1.0431201
 1.0502784  1.0574365  1.0645947  1.071753   1.0789111  1.0860693
 1.0932276  1.1003857  1.107544   1.1147022  1.1218603  1.1290185
 1.1361768  1.1433349  1.1504931  1.1576514  1.1648096  1.1719677
 1.179126   1.1862842  1.1934423  1.2006006  1.2077588  1.214917
 1.2220752  1.2292335  1.2363915  1.2435498  1.2507081  1.2578661
 1.2650244  1.2721827  1.2793407  1.286499   1.2936573  1.3008153
 1.3079736  1.3151319  1.32229    1.3294482  1.3366065  1.3437647
 1.3509228  1.3580811  1.3652393  1.3723974 ]",0.007158219814300537
gpt_neox.layers.0.input_layernorm.bias,142000,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  1.  0.  2.
  7.  3.  1.  3.  3.  3. 13. 17. 22. 34. 44. 59. 57. 48. 39. 37. 31. 19.
 12. 12.  7.  5.  5.  0.  1.  2.  1.  3.  1.  0.  1.  0.  0.  1.  0.  2.
  0.  1.  2.  2.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.]","[-1.942373   -1.9013379  -1.8603027  -1.8192675  -1.7782325  -1.7371973
 -1.6961621  -1.6551269  -1.6140919  -1.5730567  -1.5320215  -1.4909863
 -1.4499512  -1.408916   -1.3678808  -1.3268456  -1.2858105  -1.2447753
 -1.2037402  -1.1627051  -1.12167    -1.0806348  -1.0395997  -0.9985645
 -0.9575293  -0.91649413 -0.87545896 -0.8344238  -0.79338866 -0.75235355
 -0.7113184  -0.6702832  -0.629248   -0.58821285 -0.5471777  -0.50614256
 -0.46510744 -0.42407227 -0.3830371  -0.34200191 -0.30096674 -0.25993162
 -0.21889651 -0.17786133 -0.13682616 -0.09579098 -0.05475581 -0.01372069
  0.02731442  0.0683496   0.10938478  0.15041995  0.19145507  0.23249018
  0.27352536  0.31456053  0.3555957   0.39663088  0.437666    0.4787011
  0.5197363   0.56077147  0.60180664  0.6428418   0.68387693  0.72491205
  0.7659472   0.8069824   0.8480176   0.88905275  0.9300879   0.97112304
  1.0121582   1.0531933   1.0942285   1.1352637   1.1762989   1.217334
  1.2583692   1.2994044   1.3404394   1.3814746   1.4225097   1.4635448
  1.50458     1.5456152   1.5866504   1.6276855   1.6687207   1.7097559
  1.7507911   1.7918262   1.8328613   1.8738965   1.9149317   1.9559668
  1.9970019   2.038037    2.0790722   2.1201074 ]",0.04103517532348633
gpt_neox.layers.0.input_layernorm.bias,143000,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  1.  0.  2.
  7.  3.  1.  3.  3.  3. 13. 17. 22. 34. 44. 58. 58. 48. 39. 37. 31. 19.
 11. 13.  7.  5.  5.  0.  1.  2.  1.  3.  1.  0.  1.  0.  0.  1.  0.  2.
  0.  1.  2.  2.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.]","[-1.9443066  -1.9032323  -1.8621582  -1.821084   -1.7800097  -1.7389355
 -1.6978613  -1.6567872  -1.6157129  -1.5746386  -1.5335644  -1.4924903
 -1.451416   -1.4103417  -1.3692675  -1.3281934  -1.2871192  -1.2460449
 -1.2049706  -1.1638966  -1.1228223  -1.081748   -1.0406737  -0.9995996
 -0.95852536 -0.91745114 -0.8763769  -0.8353027  -0.7942285  -0.7531543
 -0.71208006 -0.67100585 -0.62993157 -0.58885735 -0.54778314 -0.5067089
 -0.4656347  -0.4245605  -0.38348627 -0.34241205 -0.30133784 -0.26026362
 -0.2191894  -0.17811519 -0.13704097 -0.09596676 -0.05489254 -0.01381826
  0.02725601  0.06833017  0.10940421  0.15047836  0.19155264  0.23262691
  0.27370113  0.31477535  0.35584956  0.39692378  0.437998    0.4790722
  0.5201464   0.56122065  0.60229486  0.6433691   0.6844433   0.7255175
  0.7665917   0.80766594  0.8487402   0.88981444  0.93088865  0.97196287
  1.0130371   1.0541112   1.0951855   1.1362598   1.177334    1.2184081
  1.2594824   1.3005567   1.3416309   1.382705    1.4237792   1.4648535
  1.5059278   1.5470018   1.5880761   1.6291504   1.6702247   1.7112988
  1.752373    1.7934473   1.8345215   1.8755957   1.9166698   1.9577441
  1.9988184   2.0398927   2.0809667   2.122041  ]",0.041074275970458984
gpt_neox.layers.0.post_attention_layernorm.weight,142000,"[ 18. 114. 159. 115.  44.  24.  18.   5.   2.   2.   0.   1.   2.   1.
   1.   0.   0.   0.   0.   0.   1.   0.   1.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   1.]","[0.4365747  0.45913818 0.48170167 0.5042651  0.52682865 0.5493921
 0.57195556 0.594519   0.6170825  0.639646   0.6622095  0.68477297
 0.7073364  0.7298999  0.75246334 0.7750268  0.7975904  0.82015383
 0.8427173  0.86528075 0.8878442  0.91040766 0.9329712  0.9555347
 0.97809815 1.0006616  1.0232251  1.0457885  1.068352   1.0909154
 1.1134789  1.1360425  1.1586059  1.1811695  1.203733   1.2262964
 1.2488599  1.2714233  1.2939868  1.3165503  1.3391137  1.3616772
 1.3842406  1.4068041  1.4293677  1.4519311  1.4744946  1.4970582
 1.5196216  1.5421851  1.5647485  1.587312   1.6098754  1.632439
 1.6550025  1.6775659  1.7001295  1.722693   1.7452564  1.7678199
 1.7903833  1.8129468  1.8355103  1.8580737  1.8806372  1.9032006
 1.9257641  1.9483277  1.9708911  1.9934547  2.0160182  2.0385816
 2.061145   2.0837085  2.106272   2.1288354  2.151399   2.1739624
 2.1965258  2.2190893  2.2416527  2.2642164  2.2867799  2.3093433
 2.3319068  2.3544703  2.3770337  2.3995972  2.4221606  2.444724
 2.4672875  2.489851   2.5124145  2.534978   2.5575416  2.580105
 2.6026685  2.625232   2.6477954  2.670359  ]",0.02256348729133606
gpt_neox.layers.0.post_attention_layernorm.weight,143000,"[ 15. 113. 160. 116.  45.  24.  19.   5.   2.   2.   0.   1.   2.   1.
   1.   0.   0.   0.   0.   0.   1.   0.   1.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   1.]","[0.4370996  0.45973632 0.48237306 0.5050098  0.5276465  0.5502832
 0.57291996 0.5955566  0.6181934  0.64083004 0.6634668  0.6861035
 0.70874023 0.73137695 0.75401366 0.7766504  0.7992871  0.82192385
 0.84456056 0.8671973  0.889834   0.9124707  0.93510747 0.9577441
 0.9803809  1.0030175  1.0256543  1.048291   1.0709277  1.0935645
 1.1162012  1.1388379  1.1614746  1.1841114  1.206748   1.2293848
 1.2520216  1.2746582  1.297295   1.3199316  1.3425684  1.365205
 1.3878418  1.4104786  1.4331152  1.4557519  1.4783887  1.5010254
 1.5236621  1.5462989  1.5689355  1.5915723  1.6142089  1.6368457
 1.6594825  1.6821191  1.7047558  1.7273926  1.7500293  1.772666
 1.7953027  1.8179394  1.8405762  1.8632128  1.8858496  1.9084864
 1.931123   1.9537598  1.9763964  1.9990332  2.0216699  2.0443068
 2.0669434  2.08958    2.112217   2.1348534  2.1574903  2.180127
 2.2027636  2.2254004  2.248037   2.2706738  2.2933106  2.3159473
 2.338584   2.3612208  2.3838573  2.4064941  2.429131   2.4517674
 2.4744043  2.497041   2.5196776  2.5423145  2.5649512  2.5875878
 2.6102247  2.6328611  2.655498   2.678135  ]",0.022636711597442627
gpt_neox.layers.0.post_attention_layernorm.bias,142000,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  2.  2.  1. 12. 21. 12.
 31. 57. 76. 61. 74. 54. 46. 22. 22.  9.  1.  0.  2.  0.  0.  1.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[-4.88131106e-01 -4.75623786e-01 -4.63116467e-01 -4.50609148e-01
 -4.38101798e-01 -4.25594479e-01 -4.13087159e-01 -4.00579840e-01
 -3.88072491e-01 -3.75565171e-01 -3.63057852e-01 -3.50550532e-01
 -3.38043213e-01 -3.25535893e-01 -3.13028574e-01 -3.00521255e-01
 -2.88013935e-01 -2.75506616e-01 -2.62999266e-01 -2.50491947e-01
 -2.37984627e-01 -2.25477308e-01 -2.12969974e-01 -2.00462639e-01
 -1.87955320e-01 -1.75448000e-01 -1.62940681e-01 -1.50433362e-01
 -1.37926027e-01 -1.25418693e-01 -1.12911373e-01 -1.00404054e-01
 -8.78967345e-02 -7.53894150e-02 -6.28820956e-02 -5.03747612e-02
 -3.78674269e-02 -2.53601074e-02 -1.28527880e-02 -3.45468521e-04
  1.21618509e-02  2.46691704e-02  3.71764898e-02  4.96838093e-02
  6.21911585e-02  7.46985078e-02  8.72058272e-02  9.97131467e-02
  1.12220466e-01  1.24727786e-01  1.37235105e-01  1.49742424e-01
  1.62249744e-01  1.74757063e-01  1.87264383e-01  1.99771732e-01
  2.12279081e-01  2.24786401e-01  2.37293720e-01  2.49801040e-01
  2.62308359e-01  2.74815679e-01  2.87322998e-01  2.99830317e-01
  3.12337637e-01  3.24844986e-01  3.37352306e-01  3.49859625e-01
  3.62366945e-01  3.74874264e-01  3.87381583e-01  3.99888933e-01
  4.12396252e-01  4.24903572e-01  4.37410891e-01  4.49918211e-01
  4.62425530e-01  4.74932849e-01  4.87440199e-01  4.99947488e-01
  5.12454808e-01  5.24962127e-01  5.37469506e-01  5.49976826e-01
  5.62484145e-01  5.74991465e-01  5.87498784e-01  6.00006104e-01
  6.12513423e-01  6.25020742e-01  6.37528062e-01  6.50035381e-01
  6.62542701e-01  6.75050080e-01  6.87557399e-01  7.00064719e-01
  7.12572038e-01  7.25079358e-01  7.37586677e-01  7.50093997e-01]",0.012507319450378418
gpt_neox.layers.0.post_attention_layernorm.bias,143000,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  2.  2.  1. 11. 20. 14.
 29. 56. 76. 61. 69. 62. 42. 25. 22. 10.  1.  0.  2.  0.  0.  1.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[-0.48958373 -0.477052   -0.46452028 -0.45198852 -0.43945676 -0.42692506
 -0.4143933  -0.40186155 -0.38932985 -0.3767981  -0.36426634 -0.35173464
 -0.33920288 -0.32667112 -0.31413943 -0.30160767 -0.2890759  -0.27654415
 -0.26401246 -0.2514807  -0.23894896 -0.22641723 -0.21388549 -0.20135374
 -0.18882202 -0.17629027 -0.16375853 -0.1512268  -0.13869506 -0.12616332
 -0.11363158 -0.10109983 -0.08856811 -0.07603636 -0.06350462 -0.05097288
 -0.03844114 -0.02590941 -0.01337767 -0.00084591  0.01168582  0.02421755
  0.0367493   0.04928103  0.06181276  0.07434452  0.08687624  0.09940797
  0.11193973  0.12447146  0.13700315  0.14953488  0.16206664  0.17459837
  0.1871301   0.19966185  0.21219358  0.2247253   0.23725706  0.24978879
  0.26232052  0.27485228  0.28738403  0.29991573  0.3124475   0.32497925
  0.33751097  0.3500427   0.36257446  0.3751062   0.3876379   0.40016967
  0.41270143  0.42523313  0.43776488  0.45029664  0.46282834  0.4753601
  0.48789185  0.50042355  0.5129553   0.52548707  0.5380188   0.5505505
  0.5630823   0.575614    0.58814573  0.6006775   0.61320925  0.625741
  0.6382727   0.6508044   0.66333616  0.6758679   0.6883997   0.70093143
  0.7134631   0.7259949   0.7385266   0.75105834]",0.01253172755241394
