parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.embed_in.weight,142000,1.5705624e-05,0.031312328,0.32470703,-0.31225586,0.024895651,0.018991278,0.32470703,0.0
gpt_neox.embed_in.weight,143000,1.5468964e-05,0.031149222,0.32202148,-0.3112793,0.024765907,0.01889243,0.32202148,0.0
gpt_neox.layers.0.input_layernorm.weight,142000,0.9644098,0.07647947,1.3740234,0.6591797,0.9644098,0.07647947,1.3740234,0.6591797
gpt_neox.layers.0.input_layernorm.weight,143000,0.9667549,0.07668954,1.3759766,0.66015625,0.9667549,0.07668954,1.3759766,0.66015625
gpt_neox.layers.0.input_layernorm.bias,142000,0.050153017,0.31474894,2.140625,-1.9628906,0.18169361,0.26174408,2.140625,4.196167e-05
gpt_neox.layers.0.input_layernorm.bias,143000,0.0503431,0.31513494,2.1425781,-1.9648438,0.18197243,0.26205087,2.1425781,5.5253506e-05
gpt_neox.layers.0.post_attention_layernorm.weight,142000,0.5065651,0.13306224,2.6816406,0.42529297,0.5065651,0.13306224,2.6816406,0.42529297
gpt_neox.layers.0.post_attention_layernorm.weight,143000,0.50774,0.13344419,2.6894531,0.42578125,0.50774,0.13344419,2.6894531,0.42578125
gpt_neox.layers.0.post_attention_layernorm.bias,142000,0.0022910917,0.05843165,0.75634766,-0.49438477,0.032638043,0.04849939,0.75634766,6.556511e-05
gpt_neox.layers.0.post_attention_layernorm.bias,143000,0.002305402,0.058548722,0.7573242,-0.4958496,0.032727547,0.048580755,0.7573242,5.066395e-06
gpt_neox.layers.0.attention.query_key_value.weight,142000,-0.00011451478,0.034770925,0.34228516,-0.34985352,0.025846312,0.023259357,0.34985352,1.1920929e-07
gpt_neox.layers.0.attention.query_key_value.weight,143000,-0.000113911,0.034673072,0.3413086,-0.34960938,0.025772845,0.023194712,0.34960938,5.9604645e-08
gpt_neox.layers.0.attention.query_key_value.bias,142000,-0.028074004,2.086149,17.984375,-14.328125,0.8947642,1.8845906,17.984375,0.00011265278
gpt_neox.layers.0.attention.query_key_value.bias,143000,-0.02812209,2.0866964,18.0,-14.3359375,0.8950059,1.8850825,18.0,3.8087368e-05
gpt_neox.layers.0.attention.dense.weight,142000,3.6458846e-07,0.021473251,0.30249023,-0.29833984,0.01638396,0.013880393,0.30249023,0.0
gpt_neox.layers.0.attention.dense.weight,143000,5.2830137e-07,0.021395616,0.30273438,-0.29785156,0.016322974,0.013832278,0.30273438,0.0
