parameter,step,counts,bin_centers,bin_width
gpt_neox.embed_in.weight,142000,"[1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
 2.000000e+00 3.000000e+00 3.000000e+00 3.000000e+00 1.000000e+00
 3.000000e+00 3.000000e+00 7.000000e+00 7.000000e+00 1.200000e+01
 1.300000e+01 4.100000e+01 9.400000e+01 2.000000e+02 6.130000e+02
 1.325000e+03 3.367000e+03 7.195000e+03 1.543700e+04 3.060500e+04
 5.825800e+04 1.046740e+05 1.813030e+05 2.928110e+05 4.541840e+05
 6.716750e+05 9.352070e+05 1.242046e+06 1.571209e+06 1.876279e+06
 2.136190e+06 2.305046e+06 2.477964e+06 2.273837e+06 2.082726e+06
 1.817147e+06 1.498631e+06 1.174590e+06 8.806140e+05 6.194640e+05
 4.168350e+05 2.681960e+05 1.615010e+05 9.377100e+04 5.121200e+04
 2.686800e+04 1.319700e+04 6.358000e+03 2.842000e+03 1.179000e+03
 4.860000e+02 1.840000e+02 8.200000e+01 3.800000e+01 1.200000e+01
 1.800000e+01 9.000000e+00 6.000000e+00 7.000000e+00 8.000000e+00
 2.000000e+00 6.000000e+00 3.000000e+00 5.000000e+00 4.000000e+00
 4.000000e+00 2.000000e+00 2.000000e+00 2.000000e+00 1.000000e+00
 0.000000e+00 3.000000e+00 1.000000e+00 5.000000e+00 0.000000e+00
 3.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00
 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00]","[-0.3381909  -0.330979   -0.3237671  -0.31655517 -0.30934328 -0.30213135
 -0.29491943 -0.2877075  -0.28049558 -0.2732837  -0.2660718  -0.25885987
 -0.25164795 -0.24443603 -0.23722413 -0.23001221 -0.22280028 -0.21558836
 -0.20837647 -0.20116454 -0.19395262 -0.18674073 -0.1795288  -0.17231688
 -0.16510499 -0.15789306 -0.15068114 -0.14346924 -0.13625732 -0.1290454
 -0.12183349 -0.11462157 -0.10740966 -0.10019775 -0.09298583 -0.08577392
 -0.07856201 -0.0713501  -0.06413817 -0.05692625 -0.04971434 -0.04250243
 -0.03529051 -0.0280786  -0.02086669 -0.01365477 -0.00644286  0.00076905
  0.00798097  0.01519288  0.02240478  0.02961668  0.03682861  0.04404052
  0.05125242  0.05846435  0.06567626  0.07288817  0.08010009  0.087312
  0.09452391  0.10173583  0.10894775  0.11615966  0.12337157  0.1305835
  0.1377954   0.14500731  0.15221924  0.15943114  0.16664305  0.17385498
  0.1810669   0.1882788   0.19549072  0.20270264  0.20991454  0.21712646
  0.22433838  0.23155028  0.2387622   0.24597412  0.25318602  0.26039794
  0.26760986  0.27482176  0.28203368  0.2892456   0.29645753  0.30366945
  0.31088135  0.31809324  0.32530516  0.3325171   0.339729    0.34694093
  0.35415283  0.36136475  0.36857665  0.37578857]",0.007211923599243164
gpt_neox.embed_in.weight,143000,"[1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
 2.000000e+00 4.000000e+00 1.000000e+00 4.000000e+00 2.000000e+00
 1.000000e+00 4.000000e+00 5.000000e+00 8.000000e+00 1.400000e+01
 1.200000e+01 4.300000e+01 8.300000e+01 1.870000e+02 5.530000e+02
 1.349000e+03 3.121000e+03 6.796000e+03 1.476700e+04 2.918100e+04
 5.589200e+04 1.012780e+05 1.730920e+05 2.846960e+05 4.397830e+05
 6.504390e+05 9.149280e+05 1.214656e+06 1.542681e+06 1.850918e+06
 2.116956e+06 2.290137e+06 2.474266e+06 2.282851e+06 2.098995e+06
 1.842046e+06 1.526153e+06 1.204785e+06 8.992550e+05 6.429540e+05
 4.340420e+05 2.789910e+05 1.698330e+05 1.002350e+05 5.436000e+04
 2.869400e+04 1.440200e+04 6.785000e+03 3.122000e+03 1.316000e+03
 5.220000e+02 2.020000e+02 9.400000e+01 4.100000e+01 1.200000e+01
 1.800000e+01 8.000000e+00 7.000000e+00 6.000000e+00 1.000000e+01
 3.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00
 5.000000e+00 2.000000e+00 2.000000e+00 1.000000e+00 2.000000e+00
 0.000000e+00 3.000000e+00 0.000000e+00 5.000000e+00 1.000000e+00
 2.000000e+00 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00]","[-3.36506367e-01 -3.29343259e-01 -3.22180152e-01 -3.15017104e-01
 -3.07853997e-01 -3.00690919e-01 -2.93527842e-01 -2.86364734e-01
 -2.79201657e-01 -2.72038579e-01 -2.64875472e-01 -2.57712394e-01
 -2.50549316e-01 -2.43386224e-01 -2.36223146e-01 -2.29060054e-01
 -2.21896976e-01 -2.14733884e-01 -2.07570791e-01 -2.00407714e-01
 -1.93244636e-01 -1.86081544e-01 -1.78918451e-01 -1.71755373e-01
 -1.64592281e-01 -1.57429188e-01 -1.50266111e-01 -1.43103033e-01
 -1.35939941e-01 -1.28776848e-01 -1.21613771e-01 -1.14450686e-01
 -1.07287593e-01 -1.00124508e-01 -9.29614231e-02 -8.57983381e-02
 -7.86352605e-02 -7.14721680e-02 -6.43090755e-02 -5.71459979e-02
 -4.99829054e-02 -4.28198129e-02 -3.56567353e-02 -2.84936577e-02
 -2.13305652e-02 -1.41674727e-02 -7.00439513e-03  1.58697367e-04
  7.32178986e-03  1.44848675e-02  2.16479450e-02  2.88110226e-02
  3.59741151e-02  4.31372076e-02  5.03002852e-02  5.74633777e-02
  6.46264702e-02  7.17895478e-02  7.89526254e-02  8.61157179e-02
  9.32788104e-02  1.00441888e-01  1.07604980e-01  1.14768073e-01
  1.21931151e-01  1.29094243e-01  1.36257321e-01  1.43420398e-01
  1.50583506e-01  1.57746583e-01  1.64909661e-01  1.72072753e-01
  1.79235846e-01  1.86398923e-01  1.93562001e-01  2.00725093e-01
  2.07888186e-01  2.15051264e-01  2.22214356e-01  2.29377449e-01
  2.36540526e-01  2.43703604e-01  2.50866711e-01  2.58029789e-01
  2.65192866e-01  2.72355974e-01  2.79519022e-01  2.86682129e-01
  2.93845206e-01  3.01008284e-01  3.08171391e-01  3.15334469e-01
  3.22497547e-01  3.29660654e-01  3.36823732e-01  3.43986809e-01
  3.51149917e-01  3.58312964e-01  3.65476072e-01  3.72639179e-01]",0.0071630775928497314
gpt_neox.layers.0.input_layernorm.weight,142000,"[ 1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  1.  1.  0.  0.  1.  1.  2.  0.  2.  4.  2.  2.  2.  2.  7.  5.  6.  9.
 10. 13.  8. 16. 17. 18. 17. 10. 19. 25. 18. 30. 26. 27. 17. 26. 17. 22.
 21. 14.  4. 11. 12. 11.  6.  9.  4.  4.  6.  4.  3.  1.  2.  2.  2.  2.
  2.  1.  1.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[0.6316211  0.6390039  0.64638674 0.6537695  0.66115236 0.6685351
 0.675918   0.68330073 0.6906836  0.69806635 0.7054492  0.712832
 0.72021484 0.72759765 0.73498046 0.74236333 0.7497461  0.75712895
 0.7645117  0.7718946  0.7792773  0.7866602  0.79404294 0.8014258
 0.80880857 0.81619143 0.8235742  0.83095706 0.8383398  0.8457227
 0.8531054  0.8604883  0.86787105 0.8752539  0.8826367  0.89001954
 0.89740235 0.90478516 0.91216797 0.9195508  0.9269336  0.9343164
 0.9416992  0.949082   0.9564649  0.96384764 0.9712305  0.97861326
 0.9859961  0.9933789  1.0007617  1.0081446  1.0155272  1.0229101
 1.030293   1.0376759  1.0450586  1.0524414  1.0598242  1.0672071
 1.0745898  1.0819726  1.0893555  1.0967383  1.1041211  1.1115038
 1.1188867  1.1262696  1.1336523  1.1410351  1.148418   1.1558008
 1.1631837  1.1705663  1.1779492  1.1853321  1.1927149  1.2000977
 1.2074804  1.2148633  1.2222462  1.2296289  1.2370117  1.2443945
 1.2517774  1.2591602  1.2665429  1.2739258  1.2813087  1.2886914
 1.2960742  1.303457   1.3108399  1.3182226  1.3256054  1.3329883
 1.3403711  1.3477539  1.3551366  1.3625195 ]",0.007382810115814209
gpt_neox.layers.0.input_layernorm.weight,143000,"[ 1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  1.  1.  0.  0.  1.  1.  2.  0.  3.  3.  2.  2.  1.  4.  6.  4.  7. 10.
  7. 13. 12. 10. 20. 15. 17. 16. 17. 22. 20. 33. 22. 31. 17. 19. 22. 19.
 22. 16.  5.  9. 11. 13.  5.  9.  4.  5.  5.  6.  2.  1.  2.  1.  3.  2.
  2.  0.  2.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[0.63308835 0.6404761  0.64786375 0.6552515  0.66263914 0.6700269
 0.67741454 0.6848023  0.69218993 0.6995777  0.7069653  0.7143531
 0.7217407  0.7291284  0.7365161  0.74390376 0.7512915  0.75867915
 0.7660669  0.77345455 0.7808423  0.78822994 0.7956177  0.80300534
 0.8103931  0.81778073 0.8251685  0.8325561  0.8399439  0.8473315
 0.8547193  0.8621069  0.8694947  0.8768823  0.88427    0.8916577
 0.8990454  0.9064331  0.9138208  0.9212085  0.9285962  0.9359839
 0.9433716  0.9507593  0.9581469  0.9655347  0.9729223  0.9803101
 0.9876977  0.9950855  1.0024731  1.0098608  1.0172486  1.0246363
 1.0320239  1.0394115  1.0467993  1.054187   1.0615747  1.0689623
 1.0763501  1.0837379  1.0911255  1.0985131  1.1059009  1.1132886
 1.1206763  1.1280639  1.1354517  1.1428394  1.1502271  1.1576147
 1.1650023  1.1723902  1.1797779  1.1871655  1.1945531  1.2019409
 1.2093287  1.2167163  1.2241039  1.2314917  1.2388794  1.2462671
 1.2536547  1.2610425  1.2684302  1.2758179  1.2832055  1.2905933
 1.297981   1.3053687  1.3127563  1.320144   1.3275318  1.3349195
 1.3423071  1.3496948  1.3570826  1.3644702 ]",0.007387697696685791
gpt_neox.layers.0.input_layernorm.bias,142000,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  2.  1.  0.  0.  0.  0.  1.  1.  2.  1.  0.  0.  0.  0.  1.  1.  4.
  2.  1.  6.  7. 17. 16. 22. 47. 46. 51. 55. 43. 48. 34. 23. 18. 14.  8.
  3.  3.  7.  4.  0.  1.  5.  2.  0.  0.  1.  1.  1.  3.  1.  0.  0.  1.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  1.  0.  0.  0.  0.  1.  0.  1.]","[-1.6572754  -1.6202636  -1.583252   -1.5462403  -1.5092285  -1.4722168
 -1.435205   -1.3981934  -1.3611817  -1.3241699  -1.2871583  -1.2501464
 -1.2131348  -1.176123   -1.1391113  -1.1020997  -1.0650878  -1.0280762
 -0.9910644  -0.9540527  -0.917041   -0.88002926 -0.8430176  -0.80600584
 -0.7689941  -0.73198235 -0.69497067 -0.6579589  -0.6209472  -0.5839355
 -0.5469238  -0.5099121  -0.47290033 -0.4358886  -0.3988769  -0.36186522
 -0.32485348 -0.28784174 -0.25083    -0.21381831 -0.17680663 -0.13979489
 -0.10278314 -0.0657714  -0.02875966  0.00825202  0.04526371  0.08227545
  0.11928719  0.15629882  0.19331044  0.23032218  0.26733392  0.30434567
  0.34135735  0.37836903  0.41538078  0.45239252  0.48940426  0.526416
  0.5634277   0.60043937  0.6374511   0.67446285  0.7114746   0.7484863
  0.78549796  0.8225097   0.85952145  0.8965332   0.9335449   0.97055656
  1.0075684   1.04458     1.0815918   1.1186035   1.1556152   1.192627
  1.2296386   1.2666504   1.3036621   1.3406738   1.3776855   1.4146972
  1.451709    1.4887207   1.5257324   1.5627441   1.5997558   1.6367676
  1.6737792   1.7107911   1.7478027   1.7848144   1.8218262   1.8588378
  1.8958497   1.9328613   1.969873    2.0068848 ]",0.03701174259185791
gpt_neox.layers.0.input_layernorm.bias,143000,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  2.  1.  0.  0.  0.  0.  1.  1.  2.  1.  0.  0.  0.  0.  1.  1.  4.
  2.  1.  6.  7. 17. 16. 21. 48. 45. 50. 57. 43. 47. 35. 23. 18. 14.  8.
  3.  3.  7.  4.  0.  1.  4.  3.  0.  0.  1.  1.  1.  3.  1.  0.  0.  1.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  1.  0.  0.  0.  0.  1.  0.  1.]","[-1.659209   -1.6221583  -1.5851074  -1.5480566  -1.5110059  -1.4739552
 -1.4369043  -1.3998535  -1.3628027  -1.325752   -1.2887012  -1.2516503
 -1.2145996  -1.1775489  -1.1404982  -1.1034472  -1.0663965  -1.0293458
 -0.99229497 -0.9552442  -0.91819334 -0.8811426  -0.8440918  -0.80704105
 -0.7699903  -0.7329395  -0.6958887  -0.6588379  -0.62178713 -0.58473635
 -0.54768556 -0.5106348  -0.47358406 -0.43653327 -0.3994825  -0.3624317
 -0.32538092 -0.28833014 -0.25127935 -0.21422857 -0.17717779 -0.140127
 -0.10307622 -0.06602544 -0.02897465  0.00807613  0.04512691  0.08217764
  0.11922842  0.15627933  0.19333017  0.23038095  0.26743174  0.30448246
  0.34153324  0.37858403  0.4156348   0.4526856   0.48973638  0.52678716
  0.56383795  0.6008887   0.6379395   0.6749903   0.7120411   0.74909186
  0.78614265  0.82319343  0.86024415  0.89729494  0.9343457   0.9713965
  1.0084473   1.0454981   1.0825489   1.1195996   1.1566504   1.1937013
  1.230752    1.2678027   1.3048534   1.3419044   1.3789551   1.4160058
  1.4530566   1.4901075   1.5271583   1.564209    1.6012597   1.6383106
  1.6753614   1.7124121   1.7494628   1.7865137   1.8235645   1.8606153
  1.897666    1.9347168   1.9717677   2.0088184 ]",0.037050724029541016
gpt_neox.layers.0.post_attention_layernorm.weight,142000,"[ 24. 101. 177.  86.  53.  21.  17.  13.   7.   3.   0.   2.   0.   1.
   0.   0.   1.   0.   1.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   1.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   1.]","[0.45335203 0.47431397 0.49527588 0.5162378  0.53719974 0.5581616
 0.57912356 0.60008544 0.6210474  0.64200926 0.6629712  0.68393314
 0.704895   0.72585696 0.74681884 0.7677808  0.78874266 0.8097046
 0.8306665  0.8516284  0.8725903  0.89355224 0.9145142  0.93547606
 0.956438   0.97739995 0.9983618  1.0193237  1.0402856  1.0612476
 1.0822095  1.1031713  1.1241333  1.1450952  1.1660571  1.1870191
 1.207981   1.2289429  1.2499048  1.2708666  1.2918286  1.3127905
 1.3337524  1.3547144  1.3756763  1.3966382  1.4176002  1.438562
 1.4595239  1.4804859  1.5014477  1.5224097  1.5433716  1.5643334
 1.5852954  1.6062573  1.6272192  1.6481812  1.6691431  1.690105
 1.711067   1.7320288  1.7529907  1.7739526  1.7949145  1.8158765
 1.8368384  1.8578002  1.8787622  1.8997241  1.920686   1.941648
 1.9626099  1.9835718  2.0045338  2.0254955  2.0464573  2.0674195
 2.0883813  2.109343   2.1303053  2.151267   2.1722288  2.193191
 2.2141528  2.2351146  2.2560768  2.2770386  2.2980003  2.3189626
 2.3399243  2.360886   2.3818483  2.40281    2.4237719  2.4447339
 2.4656959  2.4866576  2.5076196  2.5285816 ]",0.020961910486221313
gpt_neox.layers.0.post_attention_layernorm.weight,143000,"[ 25. 101. 174.  89.  53.  20.  17.  12.   8.   3.   0.   2.   0.   1.
   0.   0.   1.   0.   1.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   1.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   1.]","[0.45459595 0.47560424 0.49661255 0.5176208  0.5386292  0.5596374
 0.5806458  0.60165405 0.6226623  0.6436707  0.66467893 0.6856873
 0.70669556 0.72770387 0.7487122  0.76972044 0.7907288  0.81173706
 0.8327454  0.8537537  0.87476194 0.8957703  0.91677856 0.9377869
 0.9587952  0.97980344 1.0008118  1.0218201  1.0428284  1.0638367
 1.084845   1.1058533  1.1268616  1.14787    1.1688782  1.1898865
 1.2108948  1.2319031  1.2529114  1.2739197  1.294928   1.3159363
 1.3369446  1.357953   1.3789612  1.3999695  1.4209778  1.4419861
 1.4629945  1.4840027  1.505011   1.5260192  1.5470276  1.5680358
 1.5890442  1.6100525  1.6310607  1.6520691  1.6730773  1.6940857
 1.715094   1.7361022  1.7571106  1.7781188  1.7991272  1.8201355
 1.8411437  1.8621521  1.8831604  1.9041687  1.925177   1.9461852
 1.9671936  1.9882019  2.00921    2.0302186  2.0512266  2.072235
 2.0932436  2.1142516  2.13526    2.1562681  2.1772766  2.198285
 2.219293   2.2403016  2.2613096  2.282318   2.3033266  2.3243346
 2.345343   2.3663511  2.3873596  2.408368   2.4293761  2.4503846
 2.4713926  2.4924011  2.5134096  2.5344176 ]",0.021008312702178955
gpt_neox.layers.0.post_attention_layernorm.bias,142000,"[ 1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  1.  2.  1.  3.  8.  8. 20. 17. 32. 53. 42. 51. 63. 44.
 59. 32. 28. 18.  7.  6.  6.  3.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[-0.35961547 -0.34886596 -0.33811647 -0.32736695 -0.31661743 -0.3058679
 -0.29511842 -0.2843689  -0.27361938 -0.26286986 -0.25212038 -0.24137086
 -0.23062134 -0.21987182 -0.20912233 -0.19837281 -0.18762329 -0.17687377
 -0.16612428 -0.15537477 -0.14462525 -0.13387573 -0.12312623 -0.11237672
 -0.1016272  -0.09087768 -0.08012818 -0.06937867 -0.05862916 -0.04787965
 -0.03713015 -0.02638063 -0.01563111 -0.00488159  0.00586791  0.01661742
  0.02736694  0.03811644  0.04886594  0.05961546  0.07036498  0.0811145
  0.091864    0.10261351  0.11336303  0.12411253  0.13486204  0.14561155
  0.15636107  0.16711059  0.17786011  0.18860963  0.19935915  0.21010867
  0.22085817  0.23160768  0.2423572   0.2531067   0.2638562   0.27460572
  0.28535524  0.29610476  0.30685425  0.31760377  0.3283533   0.3391028
  0.3498523   0.3606018   0.37135133  0.38210085  0.39285034  0.40359986
  0.41434938  0.4250989   0.43584839  0.4465979   0.45734742  0.46809694
  0.47884643  0.48959595  0.50034547  0.511095    0.5218445   0.53259397
  0.54334354  0.554093    0.5648425   0.57559204  0.58634156  0.5970911
  0.60784054  0.6185901   0.6293396   0.64008915  0.6508386   0.66158813
  0.67233765  0.6830871   0.6938367   0.70458615]",0.010749518871307373
gpt_neox.layers.0.post_attention_layernorm.bias,143000,"[ 1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  1.  2.  1.  2.  9.  9. 21. 15. 31. 55. 43. 53. 64. 41.
 59. 30. 28. 18.  7.  6.  6.  3.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]","[-0.35961062 -0.34885132 -0.33809203 -0.32733276 -0.3165735  -0.3058142
 -0.29505494 -0.28429565 -0.27353638 -0.2627771  -0.25201783 -0.24125855
 -0.23049927 -0.21974    -0.20898071 -0.19822145 -0.18746215 -0.17670289
 -0.1659436  -0.15518433 -0.14442505 -0.13366577 -0.1229065  -0.11214723
 -0.10138795 -0.09062867 -0.07986939 -0.06911011 -0.05835083 -0.04759155
 -0.03683227 -0.02607299 -0.01531373 -0.00455445  0.00620483  0.01696411
  0.02772339  0.03848267  0.04924195  0.06000122  0.0707605   0.08151977
  0.09227905  0.10303833  0.11379761  0.12455688  0.13531616  0.14607543
  0.15683469  0.16759399  0.17835328  0.18911257  0.19987184  0.2106311
  0.22139038  0.23214966  0.24290894  0.25366822  0.26442748  0.27518678
  0.28594604  0.2967053   0.3074646   0.3182239   0.32898316  0.33974242
  0.35050172  0.361261    0.37202024  0.38277954  0.39353883  0.4042981
  0.41505736  0.42581666  0.43657595  0.4473352   0.45809448  0.46885377
  0.47961304  0.4903723   0.5011316   0.5118909   0.5226501   0.5334094
  0.5441687   0.55492795  0.5656873   0.57644653  0.5872058   0.5979651
  0.60872436  0.61948365  0.63024294  0.6410022   0.6517615   0.66252077
  0.67328     0.68403935  0.6947986   0.7055578 ]",0.01075926423072815
