parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.embed_in.weight,142000,1.7202656e-05,0.03136229,0.37939453,-0.34179688,0.024929268,0.019029584,0.37939453,0.0
gpt_neox.embed_in.weight,143000,1.702241e-05,0.031199135,0.3762207,-0.3400879,0.024799893,0.018930178,0.3762207,0.0
gpt_neox.layers.0.input_layernorm.weight,142000,0.9821243,0.076725215,1.3662109,0.6279297,0.9821243,0.076725215,1.3662109,0.6279297
gpt_neox.layers.0.input_layernorm.weight,143000,0.9843731,0.07687803,1.3681641,0.62939453,0.9843731,0.07687803,1.3681641,0.62939453
gpt_neox.layers.0.input_layernorm.bias,142000,0.061356466,0.28488573,2.0253906,-1.6757812,0.16773686,0.23820399,2.0253906,9.536743e-07
gpt_neox.layers.0.input_layernorm.bias,143000,0.061587803,0.28520295,2.0273438,-1.6777344,0.16800089,0.23845685,2.0273438,0.00012803078
gpt_neox.layers.0.post_attention_layernorm.weight,142000,0.51998806,0.12569658,2.5390625,0.4428711,0.51998806,0.12569658,2.5390625,0.4428711
gpt_neox.layers.0.post_attention_layernorm.weight,143000,0.5214305,0.12588446,2.5449219,0.4440918,0.5214305,0.12588446,2.5449219,0.4440918
gpt_neox.layers.0.post_attention_layernorm.bias,142000,0.0026723337,0.059393212,0.70996094,-0.36499023,0.035232358,0.047863983,0.70996094,4.2915344e-06
gpt_neox.layers.0.post_attention_layernorm.bias,143000,0.0026827496,0.059478536,0.7109375,-0.36499023,0.035312295,0.047911473,0.7109375,0.0001538992
gpt_neox.layers.0.attention.query_key_value.weight,142000,-0.00018534173,0.03578831,0.2841797,-0.42651367,0.026411466,0.024151003,0.42651367,5.9604645e-08
gpt_neox.layers.0.attention.query_key_value.weight,143000,-0.00018544066,0.03568748,0.28344727,-0.4267578,0.026335655,0.024084497,0.4267578,0.0
gpt_neox.layers.0.attention.query_key_value.bias,142000,0.029822417,1.9869497,20.5625,-11.046875,0.8391022,1.8011963,20.5625,1.4483929e-05
gpt_neox.layers.0.attention.query_key_value.bias,143000,0.029772514,1.9878876,20.578125,-11.0546875,0.8395181,1.8020363,20.578125,3.8206577e-05
gpt_neox.layers.0.attention.dense.weight,142000,3.7318096e-06,0.021073436,0.3544922,-0.29614258,0.01601963,0.013691611,0.3544922,1.1920929e-07
gpt_neox.layers.0.attention.dense.weight,143000,3.1902164e-06,0.021001512,0.35375977,-0.29541016,0.015967531,0.013641866,0.35375977,0.0
gpt_neox.layers.0.attention.dense.bias,142000,-0.0010330717,0.10790153,2.0273438,-0.62353516,0.025968276,0.104728885,2.0273438,7.748604e-06
gpt_neox.layers.0.attention.dense.bias,143000,-0.0010393432,0.10768021,2.0234375,-0.62158203,0.025917351,0.10451356,2.0234375,5.9604645e-07
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,142000,2.6147089e-05,0.03125644,0.19458008,-0.16662598,0.024806622,0.019015696,0.19458008,0.0
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,143000,2.5451152e-05,0.0311425,0.19421387,-0.16333008,0.024715602,0.018947145,0.19421387,1.1920929e-07
gpt_neox.layers.0.mlp.dense_h_to_4h.bias,142000,-0.09205264,0.06807921,0.12414551,-0.9863281,0.09292055,0.06688917,0.9863281,0.0006375313
gpt_neox.layers.0.mlp.dense_h_to_4h.bias,143000,-0.09210796,0.06816262,0.12243652,-0.98535156,0.09297323,0.06697701,0.98535156,0.00042510033
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,142000,5.31986e-05,0.020032018,0.22705078,-0.2758789,0.015812393,0.012298478,0.2758789,5.9604645e-08
